Meter,Depth,Type,Date Start,Date End,Latitude,Longitude,CCE,CCE Mag.,CCE Deg.,Mean Mag. Obs. (m/s),Mean Dir. Obs. (deg.),Mean Mag. Mod. (m/s),Mean Dir. Mod. (deg.),Simple Bias (m/s),Complex Bias,RMSE,CRMSE
NDBC46087,1.6,Total,2017-08-22,2017-11-13,48.493,-124.726,(-0.11-0.15j),0.18,-127.13,0.18,282.38,0.04,169.85,-0.14,(0.18-0.08j),0.57,0.54
NDBC46087,1.6,Non-Tidal,2017-08-22,2017-11-13,48.493,-124.726,(-0.17-0.2j),0.27,-130.84,0.18,282.56,0.04,170.79,-0.14,(0.18-0.08j),0.36,0.3
NDBC46087,1.6,Tidal,2017-08-22,2017-11-13,48.493,-124.726,(-0.13-0.18j),0.22,-126.84,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2017-11-13,2017-12-20,48.493,-124.726,(0.01-0.14j),0.14,-84.21,0.21,287.7,0.05,88.28,-0.16,(0.25-0.06j),0.5,0.43
NDBC46087,1.6,Non-Tidal,2017-11-13,2017-12-20,48.493,-124.726,(-0.26-0.17j),0.31,-146.55,0.21,287.47,0.05,88.08,-0.16,(0.25-0.06j),0.31,0.18
NDBC46087,1.6,Tidal,2017-11-13,2017-12-20,48.493,-124.726,(0.04-0.16j),0.17,-76.88,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2017-12-20,2018-02-10,48.493,-124.726,(-0.19-0.1j),0.22,-151.42,0.14,265.37,0.03,108.3,-0.11,(0.17+0j),0.43,0.4
NDBC46087,1.6,Non-Tidal,2017-12-20,2018-02-10,48.493,-124.726,(-0.04+0.21j),0.21,101.81,0.14,265.4,0.03,109.12,-0.11,(0.17+0j),0.21,0.12
NDBC46087,1.6,Tidal,2017-12-20,2018-02-10,48.493,-124.726,(-0.29-0.18j),0.34,-147.31,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2018-03-02,2018-04-03,48.493,-124.726,(0.07-0.05j),0.09,-34.75,0.05,322.92,0.01,250.09,-0.04,(0.02-0.04j),0.4,0.4
NDBC46087,1.6,Non-Tidal,2018-03-02,2018-04-03,48.493,-124.726,(-0.21-0.11j),0.24,-152.74,0.05,325.06,0.01,252.03,-0.04,(0.02-0.05j),0.25,0.24
NDBC46087,1.6,Tidal,2018-03-02,2018-04-03,48.493,-124.726,(0.13-0.04j),0.14,-18.73,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46087,1.6,Total,2018-04-26,2018-07-30,48.493,-124.726,(-0.04+0.03j),0.05,141.23,0.06,308.74,0.07,202.91,0.01,(0.02-0.1j),0.56,0.55
NDBC46087,1.6,Non-Tidal,2018-04-26,2018-07-30,48.493,-124.726,(0.19+0.09j),0.21,26.33,0.06,309.07,0.07,203.04,0.01,(0.02-0.1j),0.34,0.32
NDBC46087,1.6,Tidal,2018-04-26,2018-07-30,48.493,-124.726,(-0.08+0.04j),0.09,151.24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2016-01-01,2016-07-01,48.332,-123.179,(0.82-0.08j),0.82,-5.36,0.08,206.7,0.22,230.24,0.14,(-0.13-0.07j),0.34,0.3
NDBC46088,1.6,Non-Tidal,2016-01-01,2016-07-01,48.332,-123.179,(0.31-0.07j),0.32,-12.01,0.08,206.75,0.22,230.25,0.14,(-0.13-0.07j),0.26,0.21
NDBC46088,1.6,Tidal,2016-01-01,2016-07-01,48.332,-123.179,(0.93-0.08j),0.93,-4.91,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2016-07-01,2016-08-19,48.332,-123.179,(0.74-0.09j),0.74,-6.86,0.15,207.92,0.37,216.68,0.22,(-0.15-0.16j),0.47,0.41
NDBC46088,1.6,Non-Tidal,2016-07-01,2016-08-19,48.332,-123.179,(0.21+0.05j),0.22,14.47,0.15,208.51,0.37,216.72,0.22,(-0.15-0.16j),0.32,0.24
